ID Produto;Nome;Referência;Qtd Inicial;Qtd Atual;Variação Qtd;Valor Inicial;Valor Atual;Variação Valor;Total Movimentações;Data Cálculo
3479;CORREIA AUXILIAR DOS ROLETES-5535;AA043391;1.000;1.000;0.000;19.11;19.11;0.00;0;01/03/2025
3481;ROLETE ALIMENTADOR -5535;A5481461;1.000;1.000;0.000;30.99;30.99;0.00;0;01/03/2025
3485;TONALIZADOR P/3013/3213/3713 ASSPEN;T3013;67.000;67.000;0.000;2405.70;2405.70;0.00;0;01/03/2025
3494;ROLO DE TRANSPORTE DA CORREIA  3565;A2293865;1.000;1.000;0.000;152.99;152.99;0.00;0;01/03/2025
3498;TONALIZADOR REFIL P/TR1015/1312;TR1015;8.000;8.000;0.000;156.96;156.96;0.00;0;01/03/2025
3503;ROLO ALIMENTAÇÃO P/DUPLIC.6123L.RICOH.;C2522802;18.000;18.000;0.000;2108.98;2108.98;0.00;4;01/03/2025
3504;CALÇO DE SEPARACAO 6123L. MR RICOH.;C2522820;19.000;19.000;0.000;2192.19;2192.19;0.00;0;01/03/2025
3517;BUCHA;AA080234;3.000;3.000;0.000;9.27;9.27;0.00;0;01/03/2025
3522;EIXO SEM-FIM DE RECICLAGEM DE TONER - 1502;B0392272;4.000;4.000;0.000;50.60;50.60;0.00;0;01/03/2025
3525;ROLO MAGNETICO-1502;B0393051;8.000;8.000;0.000;1430.99;1430.99;0.00;0;01/03/2025
3528;ADAPTADOR T15 P/UC5&UC5E-6123LCP-T10 5309;54104;1.000;1.000;0.000;133.74;133.74;0.00;0;01/03/2025
3549;BRACO DE COMPACTACAO DO MASTER 5450/5455;C2443493;3.000;3.000;0.000;82.41;82.41;0.00;0;01/03/2025
3564;TINTA PRETA 5430 CPI3 MR RICOH;817113;218.000;218.000;0.000;7000.24;7000.24;0.00;0;01/03/2025
3586;ROLO DE PRESSAO 2713 KT;70011075;1.000;1.000;0.000;156.37;156.37;0.00;0;01/03/2025
3588;CORREIA;AA043430;2.000;2.000;0.000;20.00;20.00;0.00;0;01/03/2025
3592;TONER PRETO SCX 4216 F ACCESS BY KT;128028444;24.000;24.000;0.000;295.49;295.49;0.00;0;01/03/2025
3602;COPIADORA MOD.1312U USADA;J7556501054;4.000;4.000;0.000;4977.78;4977.78;0.00;0;01/03/2025
3603;COP. 2818Z USADA N/S.A7939860013;A7939860013;1.000;1.000;0.000;733.33;733.33;0.00;0;01/03/2025
3616;COPIADORA DIGITAL DSM415PF(IMP/FAX/SCANNER)GESTETN;20155;1.000;1.000;0.000;4230.00;4230.00;0.00;0;01/03/2025
3621;BUCHA - 1502;AA080342;2.000;2.000;0.000;83.56;83.56;0.00;0;01/03/2025
3623;ESTABILIZADOR SOL 1500 220/110V TRIPOLAR U;1000/1500U;3.000;3.000;0.000;765.19;765.19;0.00;0;01/03/2025
3624;ESTABILIZADOR SOL 2000 220/110V U;2000U;2.000;2.000;0.000;339.93;339.93;0.00;0;01/03/2025
3625;COP.MULTIF.USADA N/SB1CL200914W SCX4216 SANSUNG;B1CL200914W;1.000;1.000;0.000;533.33;533.33;0.00;0;01/03/2025
3633;COP.DSM515 MR GEST.N/S.K2649501380 USADA;K2649501380;2.000;2.000;0.000;1200.00;1200.00;0.00;0;01/03/2025
3636;EMGREAGEM;AX200153;2.000;2.000;0.000;91.21;91.21;0.00;0;01/03/2025
3637;COP.DIG.MOD.1312U N/S.J7566300853;J7566300853;2.000;2.000;0.000;3250.00;3250.00;0.00;0;01/03/2025
3659;COP.MOD.2713Z USADA MR GESTETNER N/S.AM8880196;AM8880196;2.000;2.000;0.000;1080.00;1080.00;0.00;0;01/03/2025
3662;MOLA GUIA DA SAIDA DA FUSAO  1502/1312;AA066635;2.000;2.000;0.000;9.70;9.70;0.00;0;01/03/2025
3671;MASTER CPMT12-CP6143L RICOH;893023;109.000;109.000;0.000;14478.48;14478.48;0.00;0;01/03/2025
3682;FILTRO - 3235/3502/4502;AA012131;1.000;1.000;0.000;3.94;3.94;0.00;0;01/03/2025
3689;MASTER CP6334L/6346-CPMT24;41502;3.000;3.000;0.000;607.25;607.25;0.00;0;01/03/2025
3699;ROLO FUSOR SUPERIOR Z 810 KT SHARP AL1000;70015641;1.000;1.000;0.000;35.34;35.34;0.00;0;01/03/2025
3701;ROLO INFERIOR DE PRESSAO AR 150 KT SHARP AL1000;70019610;1.000;1.000;0.000;57.66;57.66;0.00;0;01/03/2025
